State,Hispanic_AnxDep,Hispanic_Insurance,COVID_Cases,COVID_Deaths,Unemployment_Claims
Tennessee,18.436,4.602,26934,133,20500
Texas,20.196,6.018,19446,408,82896
Utah,15.092,2.1004,23253,101,3975
Vermont,15.576,0.7316,86,0,1486
Virginia,15.488,3.1388,46011,420,30102
Washington,17.82,2.3364,24094,340,33850
West Virginia,17.996,2.95,0,0,3355
Wisconsin,16.104,1.2744,20991,193,23220
Wyoming,14.52,4.0828,448,3,1778
Alabama,20.0479,3.7632,10216,74,17620
Alaska,17.9644,3.968,209,0,5432
Arizona,20.7887,4.864,63443,1321,17359
Arkansas,20.1405,3.1744,15249,68,13367
California,20.4183,3.5328,259836,6450,228963
Colorado,19.2145,3.5584,26417,701,7101
Connecticut,16.2513,1.6128,18117,756,9792
Delaware,16.9458,2.8416,7062,67,2264
Florida,18.7515,4.5824,162493,2450,85902
Georgia,18.52,5.632,37823,352,88842
Hawaii,19.1219,3.1232,0,0,5771
Idaho,21.0665,3.0976,5002,17,4453
Illinois,20.0016,3.2256,99880,3001,29856
Indiana,19.446,3.456,12271,103,16303
Iowa,17.5014,1.1776,16122,109,6762
Kansas,18.4737,3.9424,14971,74,8508
Kentucky,19.3071,2.5088,4525,48,19512
Louisiana,19.9553,4.224,0,144,21681
Maine,17.5014,2.2784,289,0,1839
Maryland,18.1959,2.3808,40143,758,12977
Massachusetts,16.2976,1.4592,44113,1158,16407
Michigan,18.8441,1.9968,12862,253,20492
Minnesota,16.5291,2.3808,18489,126,14150
Mississippi,22.224,6.9632,3435,45,9113
Missouri,17.5477,3.8144,8015,60,11687
Montana,16.668,2.0736,230,0,2196
Nebraska,17.2699,2.9696,18400,138,3276
Nevada,21.6684,4.7872,13792,180,14545
New Hampshire,18.8441,2.6368,1243,22,2912
New Jersey,17.4088,1.7664,64687,5421,23145
New Mexico,21.9925,2.944,11854,118,6395
New York,19.0293,2.5856,0,13266,74441
North Carolina,18.2885,3.9168,53991,308,24085
North Dakota,15.6494,3.0464,0,0,1336
Ohio,17.1773,2.2016,9968,135,25011
Oklahoma,20.4183,6.016,10124,36,8060
Oregon,23.2426,2.9952,10129,61,8387
Pennsylvania,14.7234,2.2016,15800,805,31626
Rhode Island,20.6035,2.3808,12144,170,2954
South Carolina,19.5849,5.0688,11563,76,11358
South Dakota,16.3902,3.3792,2279,0,677
Tennessee,20.1868,5.0432,29948,154,19656
Texas,20.5109,6.7584,21992,432,70591
Utah,17.5014,3.2,26037,112,3511
Vermont,15.3716,2.7392,98,0,1353
Virginia,17.7329,3.5072,48261,443,34677
Washington,20.2794,3.1232,26957,377,27435
West Virginia,17.131,1.6128,0,0,2949
Wisconsin,15.4179,2.1504,22936,197,20638
Wyoming,19.1219,4.736,533,4,1827
Alabama,14.9544,3.3596,27449,232,16012
Alaska,13.9896,2.7467,1280,0,7630
Arizona,14.1102,3.8363,229563,5798,22081
Arkansas,14.1906,3.4958,50863,230,10178
California,15.276,2.3154,1051342,22820,401630
Colorado,15.1152,2.27,85124,1664,11291
